,日期,到期月份,開盤價,收盤價,轉倉利益,是否為轉倉日
0,1998-08-20,199809,7300,7274,0,N
1,1998-08-21,199809,7255,7225,0,N
2,1998-08-24,199809,7172,6955,0,N
3,1998-08-25,199809,6938,6949,0,N
4,1998-08-26,199809,6990,6790,0,N
5,1998-08-27,199809,6681,6835,0,N
6,1998-08-28,199809,6699,6695,0,N
7,1998-08-29,199809,6700,6728,0,N
8,1998-08-31,199809,6750,6566,0,N
9,1998-09-01,199809,6352,6410,0,N
10,1998-09-02,199809,6494,6430,0,N
11,1998-09-03,199809,6400,6200,0,N
12,1998-09-04,199809,6120,6399,0,N
13,1998-09-05,199809,6420,6700,0,N
14,1998-09-07,199809,6730,6719,0,N
15,1998-09-08,199809,6719,6865,0,N
16,1998-09-09,199809,6930,6770,0,N
17,1998-09-10,199809,6720,6730,0,N
18,1998-09-11,199810,6680,6684,-46,Y
19,1998-09-14,199810,6714,6739,0,N
20,1998-09-15,199810,6755,6720,0,N
21,1998-09-16,199810,6730,6930,0,N
22,1998-09-17,199810,6945,6906,0,N
23,1998-09-18,199810,6840,6842,0,N
24,1998-09-19,199810,6859,7039,0,N
25,1998-09-21,199810,7035,6861,0,N
26,1998-09-22,199810,6930,6926,0,N
27,1998-09-23,199810,6900,6852,0,N
28,1998-09-24,199810,6940,6890,0,N
29,1998-09-25,199810,6856,6871,0,N
30,1998-09-28,199810,6860,6840,0,N
31,1998-09-29,199810,6870,6806,0,N
32,1998-09-30,199810,6806,6787,0,N
33,1998-10-01,199810,6738,6620,0,N
34,1998-10-02,199810,6530,6398,0,N
35,1998-10-03,199810,6398,6550,0,N
36,1998-10-06,199810,6490,6450,0,N
37,1998-10-07,199810,6469,6639,0,N
38,1998-10-08,199810,6600,6981,0,N
39,1998-10-09,199810,6980,6900,0,N
40,1998-10-12,199810,6980,6935,0,N
41,1998-10-13,199810,6950,6852,0,N
42,1998-10-14,199810,6830,6775,0,N
43,1998-10-15,199810,6775,6760,0,N
44,1998-10-17,199811,6950,6875,115,Y
45,1998-10-19,199811,6880,6863,0,N
46,1998-10-20,199811,6850,6750,0,N
47,1998-10-21,199811,6740,6999,0,N
48,1998-10-22,199811,7030,6955,0,N
49,1998-10-23,199811,6975,7015,0,N
50,1998-10-26,199811,7000,7010,0,N
51,1998-10-27,199811,7020,7014,0,N
52,1998-10-28,199811,7005,6914,0,N
53,1998-10-29,199811,6912,6965,0,N
54,1998-10-30,199811,7000,7035,0,N
55,1998-10-31,199811,7058,7118,0,N
56,1998-11-02,199811,7129,7181,0,N
57,1998-11-03,199811,7150,7080,0,N
58,1998-11-04,199811,7051,6958,0,N
59,1998-11-05,199811,6970,7015,0,N
60,1998-11-06,199811,7018,6921,0,N
61,1998-11-07,199811,6930,7000,0,N
62,1998-11-09,199811,7001,6965,0,N
63,1998-11-10,199811,6901,6831,0,N
64,1998-11-11,199811,6781,6710,0,N
65,1998-11-13,199812,6850,6908,198,Y
66,1998-11-16,199812,6938,7080,0,N
67,1998-11-17,199812,7115,7196,0,N
68,1998-11-18,199812,7200,7140,0,N
69,1998-11-19,199812,7160,7350,0,N
70,1998-11-20,199812,7360,7390,0,N
71,1998-11-21,199812,7425,7380,0,N
72,1998-11-23,199812,7326,7344,0,N
73,1998-11-24,199812,7425,7525,0,N
74,1998-11-25,199812,7250,7366,0,N
75,1998-11-26,199812,7385,7529,0,N
76,1998-11-27,199812,7550,7490,0,N
77,1998-11-30,199812,7480,7413,0,N
78,1998-12-01,199812,7360,7336,0,N
79,1998-12-02,199812,7400,7380,0,N
80,1998-12-03,199812,7365,7321,0,N
81,1998-12-04,199812,7320,7384,0,N
82,1998-12-07,199812,7534,7470,0,N
83,1998-12-08,199812,7500,7352,0,N
84,1998-12-09,199812,7328,7226,0,N
85,1998-12-10,199812,7200,7186,0,N
86,1998-12-11,199901,7110,7051,-135,Y
87,1998-12-14,199901,7100,7062,0,N
88,1998-12-15,199901,7001,7148,0,N
89,1998-12-16,199901,7154,6859,0,N
90,1998-12-17,199901,6761,6691,0,N
91,1998-12-18,199901,6750,6769,0,N
92,1998-12-19,199901,6759,6612,0,N
93,1998-12-21,199901,6660,6705,0,N
94,1998-12-22,199901,6749,6940,0,N
95,1998-12-23,199901,6920,6835,0,N
96,1998-12-24,199901,6920,6840,0,N
97,1998-12-28,199901,6789,6591,0,N
98,1998-12-29,199901,6530,6630,0,N
99,1998-12-30,199901,6649,6608,0,N
100,1998-12-31,199901,6669,6531,0,N
101,1999-01-05,199901,6430,6120,0,N
102,1999-01-06,199901,6011,6245,0,N
103,1999-01-07,199901,6385,6510,0,N
104,1999-01-08,199901,6442,6452,0,N
105,1999-01-11,199901,6478,6435,0,N
106,1999-01-12,199901,6435,6390,0,N
107,1999-01-13,199901,6332,6352,0,N
108,1999-01-14,199901,6318,6280,0,N
109,1999-01-15,199901,6220,6600,0,N
110,1999-01-16,199902,6599,6565,-35,Y
111,1999-01-18,199902,6540,6445,0,N
112,1999-01-19,199902,6430,6433,0,N
113,1999-01-20,199902,6436,6405,0,N
114,1999-01-21,199902,6420,6417,0,N
115,1999-01-22,199902,6359,6285,0,N
116,1999-01-25,199902,6220,6040,0,N
117,1999-01-26,199902,6089,6220,0,N
118,1999-01-27,199902,6249,6145,0,N
119,1999-01-28,199902,6101,6070,0,N
120,1999-01-29,199902,6102,6080,0,N
121,1999-01-30,199902,6080,6110,0,N
122,1999-02-01,199902,6051,5954,0,N
123,1999-02-02,199902,6000,5880,0,N
124,1999-02-03,199902,5800,5890,0,N
125,1999-02-04,199902,5852,5558,0,N
126,1999-02-05,199902,5462,5580,0,N
127,1999-02-06,199902,5640,5767,0,N
128,1999-02-08,199902,5750,5835,0,N
129,1999-02-09,199903,5800,5806,-29,Y
130,1999-02-10,199903,5769,5875,0,N
131,1999-02-20,199903,6095,6218,0,N
132,1999-02-22,199904,6380,6530,0,N
133,1999-02-23,199903,6539,6315,0,N
134,1999-02-24,199903,6335,6425,0,N
135,1999-02-25,199903,6395,6380,0,N
136,1999-02-26,199903,6355,6469,0,N
137,1999-03-01,199903,6410,6419,0,N
138,1999-03-02,199903,6450,6345,0,N
139,1999-03-03,199903,6301,6450,0,N
140,1999-03-04,199903,6450,6388,0,N
141,1999-03-05,199903,6400,6425,0,N
142,1999-03-06,199903,6528,6440,0,N
143,1999-03-08,199903,6450,6465,0,N
144,1999-03-09,199903,6465,6489,0,N
145,1999-03-10,199903,6480,6520,0,N
146,1999-03-11,199903,6549,6451,0,N
147,1999-03-12,199904,6455,6547,96,Y
148,1999-03-15,199904,6527,6711,0,N
