日期,期貨代碼,到期月份,開盤價,最高價,最低價,收盤價,漲跌幅,漲跌幅比例,成交量,結算價,未沖銷契約量,交易時段
1998-07-21,TX,199809,8131,8131,8036,8045,0,0,208,8045,137,position
1998-07-21,TX,199903,8242,8242,8242,8242,0,0,3,8242,3,position
1998-07-22,TX,199809,7950,7950,7820,7870,-175,-2.18,360,7870,279,position
1998-07-22,TX,199812,7910,7910,7875,7875,-291,-3.56,2,7991,2,position
1998-07-22,TX,199903,8174,8174,8000,8000,-242,-2.94,5,8067,7,position
1998-07-23,TX,199809,7830,7859,7802,7825,-45,-0.57,190,7825,357,position
1998-07-23,TX,199812,7920,7920,7920,7920,-71,-0.89,1,7946,3,position
1998-07-23,TX,199903,8100,8100,8010,8010,-57,-0.71,5,8010,11,position
1998-07-24,TX,199809,7750,7835,7740,7835,10,0.13,340,7835,420,position
1998-07-24,TX,199810,7770,7770,7770,7770,-194,-2.44,1,7974,1,position
1998-07-24,TX,199812,7940,7940,7940,7940,-6,-0.08,1,7956,4,position
1998-07-24,TX,199903,8020,8045,8015,8045,35,0.44,8,8020,18,position
1998-07-27,TX,199809,7830,7835,7780,7786,-49,-0.63,150,7786,466,position
1998-07-27,TX,199903,8015,8020,8013,8013,-7,-0.09,4,8015,22,position
1998-07-28,TX,199809,7809,7830,7741,7742,-44,-0.57,264,7742,496,position
1998-07-28,TX,199812,8024,8025,7922,7950,43,0.54,8,7863,9,position
1998-07-28,TX,199903,8025,8025,8010,8010,-5,-0.06,7,7971,27,position
1998-07-29,TX,199809,7710,7729,7657,7680,-62,-0.8,323,7680,555,position
1998-07-29,TX,199810,7750,7750,7750,7750,-131,-1.66,1,7819,2,position
1998-07-29,TX,199812,7885,7891,7800,7800,-63,-0.8,9,7801,15,position
1998-07-29,TX,199903,7945,7980,7925,7980,9,0.11,10,7980,35,position
1998-07-30,TX,199809,7665,7678,7620,7638,-42,-0.55,222,7638,580,position
1998-07-30,TX,199810,7600,7660,7600,7660,-159,-2.03,2,7777,3,position
1998-07-30,TX,199812,7753,7753,7753,7753,-48,-0.62,2,7759,16,position
1998-07-30,TX,199903,7920,7920,7900,7900,-80,-1,13,7938,46,position
1998-07-31,TX,199809,7660,7683,7600,7600,-38,-0.5,257,7600,622,position
1998-07-31,TX,199810,7599,7599,7599,7599,-178,-2.29,1,7599,4,position
1998-07-31,TX,199812,7777,7777,7777,7777,18,0.23,1,7721,17,position
1998-07-31,TX,199903,7912,7912,7855,7855,-83,-1.05,13,7900,57,position
1998-08-01,TX,199809,7557,7609,7550,7609,9,0.12,378,7609,712,position
1998-08-01,TX,199810,7610,7610,7610,7610,11,0.14,1,7608,4,position
1998-08-01,TX,199812,7825,7825,7725,7725,4,0.05,5,7730,21,position
1998-08-01,TX,199903,7750,7810,7750,7810,-90,-1.14,5,7909,58,position
1998-08-03,TX,199809,7640,7657,7542,7552,-57,-0.75,293,7552,790,position
1998-08-03,TX,199810,7550,7550,7550,7550,-58,-0.76,2,7530,4,position
1998-08-03,TX,199812,7735,7735,7730,7730,0,0,3,7755,24,position
1998-08-03,TX,199903,7850,7850,7850,7850,-59,-0.75,1,7852,58,position
1998-08-04,TX,199809,7555,7600,7548,7560,8,0.11,302,7560,855,position
1998-08-04,TX,199810,7550,7550,7550,7550,20,0.27,2,7538,4,position
